"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
70,76,1.08468173269074,0.0233602748330375,1.03937479431419,1.046545637801,1.12338985152164,1.08451403758958,1.12338985152164,1.12338985152164,1.13094166292799
71,77,1.06897160790799,0.0227286483325371,1.02488374899267,1.03186305806049,1.10662962519228,1.06881052548401,1.10662962519228,1.10662962519228,1.11397487974043
72,78,0.918108158549912,0.0207857266653494,0.877816412762436,0.884188297083094,0.952563072111345,0.917951302191308,0.952563072111345,0.952563072111345,0.959291300328597
73,79,0.745259531315038,0.0186024446357826,0.709241180296629,0.714927479818039,0.776119528683041,0.745104758312163,0.776119528683041,0.776119528683041,0.782157437633363
74,80,0.615690529006713,0.0169720588256577,0.582871223603416,0.588042475425707,0.643870519666834,0.615534586049045,0.643870519666834,0.643870519666834,0.6493960368808
75,81,0.684195515848762,0.0182533281498553,0.648883097089276,0.654450851799638,0.714493859737988,0.684033198731145,0.714493859737988,0.714493859737988,0.720430361118582
76,82,0.762270328128555,0.0199769106615051,0.723614507184308,0.729711553685822,0.795424357550946,0.762095822795241,0.795424357550946,0.795424357550946,0.801917839898509
77,83,0.869501475842022,0.022221978759064,0.826487585155399,0.833275286620205,0.906373395594378,0.86931217303064,0.906373395594378,0.906373395594378,0.913591149931033
78,84,0.922977724572944,0.0236738791217164,0.87715555712792,0.884385916858434,0.962259936938723,0.922775325070226,0.962259936938723,0.962259936938723,0.969950102155202
79,85,0.968449231420505,0.0247669835742839,0.920509507167106,0.928074423976784,1.009544193136,0.968238110494323,1.009544193136,1.009544193136,1.0175887285889
80,86,1.03198560527695,0.0258481509365255,0.981940125518021,0.989840416618889,1.07486690291668,1.03176980702706,1.07486690291668,1.07486690291668,1.08325743899005
81,87,1.05693696131153,0.026276034710649,1.00605835945643,1.01409127878577,1.10052536804855,1.05671922372557,1.10052536804855,1.10052536804855,1.10905293826623
82,88,1.08345793974249,0.0265764241766321,1.03198927732952,1.04011735209859,1.12753973254708,1.08324064746409,1.12753973254708,1.12753973254708,1.1361614468842
83,89,1.02484643382432,0.0257177840452479,0.975054523657042,0.982914510336768,1.06751213590006,1.02463131875696,1.06751213590006,1.06751213590006,1.07586081546996
84,90,1.00535072709572,0.025292342420361,0.956384043273782,0.964113398976679,1.04731151962773,1.00513863574301,1.04731151962773,1.04731151962773,1.05552269896286
85,91,0.99290482256421,0.0250109111553711,0.944483760185107,0.952126809198045,1.03439915750701,0.992694825212338,1.03439915750701,1.03439915750701,1.0425192730252
86,92,1.02540886469003,0.0253748787222391,0.976272407112776,0.984030927402536,1.06750075235777,1.02519956245575,1.06750075235777,1.06750075235777,1.07573476041798
87,93,1.05818122751585,0.0257786458480812,1.00825342794815,1.01613914619978,1.10093734093445,1.05797190130326,1.10093734093445,1.10093734093445,1.10929860178418
88,94,1.09432393395213,0.0261817966408124,1.04360440621217,1.051617758762,1.1377423240797,1.09411514043828,1.1377423240797,1.1377423240797,1.14623000944846
89,95,1.07571321694414,0.0258402804797686,1.02565765699105,1.0335655425578,1.11856664950729,1.07550631630447,1.11856664950729,1.11856664950729,1.12694456761456
90,96,1.14761999701691,0.026481971458496,1.09629748130602,1.10441119836037,1.19152359844543,1.14741630802553,1.19152359844543,1.19152359844543,1.20010005269779
91,97,1.14800336497202,0.026247362907262,1.09713020923063,1.10517414645759,1.19151490245224,1.14780333573412,1.19151490245224,1.19151490245224,1.20001326288582
92,98,1.10665539868788,0.0254622294872861,1.05730752437008,1.06510945298069,1.14886744456611,1.10646012417307,1.14886744456611,1.14886744456611,1.1571129945637
93,99,1.12214499432716,0.0252822582632585,1.0731343798382,1.08088572467368,1.16405191694515,1.12195512779027,1.16405191694515,1.16405191694515,1.17223459778368
94,100,1.10916675590293,0.024820344890449,1.06104795633162,1.06865911400205,1.15030590535529,1.10898162256353,1.15030590535529,1.15030590535529,1.1583376463342
95,101,1.09828770800178,0.0244124220140241,1.05095625147331,1.05844369973414,1.1387486883909,1.09810683587625,1.1387486883909,1.1387486883909,1.14664703950288
96,102,1.14050042375313,0.0246023868573587,1.09278524882432,1.1003370547123,1.18126721270458,1.14032352458005,1.18126721270458,1.18126721270458,1.1892208961993
97,103,1.13989990072244,0.0243359555920723,1.09269629175745,1.10016835854788,1.18022217546861,1.13972672097354,1.18022217546861,1.18022217546861,1.18808767026666
98,104,1.10829474124653,0.0237044669555779,1.0623168918825,1.06959471826948,1.14757121987423,1.10812574693546,1.14757121987423,1.14757121987423,1.1552329658081
99,105,1.19049034085895,0.0242402572423811,1.14344950987998,1.15090123297984,1.2306406393087,1.1903258216373,1.2306406393087,1.2306406393087,1.23846611612464
100,106,1.12563775768471,0.0232696967530024,1.0804873061458,1.08763793664869,1.16418452451591,1.12547741448712,1.16418452451591,1.16418452451591,1.17169942148694
101,107,1.08239369931274,0.022476820702026,1.03878367694942,1.04568986906885,1.11962822567235,1.08223811989119,1.11962822567235,1.11962822567235,1.12688786189547
102,108,1.00340872823526,0.0213346397127327,0.96202489529005,0.968576144718839,1.03875707888514,1.00325752542595,1.03875707888514,1.03875707888514,1.04565182938197
103,109,0.939905912448417,0.020447237101627,0.900253026835354,0.906527979506695,0.973789606345589,0.939757643076567,0.973789606345589,0.973789606345589,0.980401395649082
104,110,0.883035399419925,0.0197551518429672,0.844736301719149,0.850794259930994,0.915779046243022,0.88288808390367,0.915779046243022,0.915779046243022,0.922171673769592
105,111,0.958429327217837,0.0206604111948292,0.918359132513754,0.924701049753018,0.992663986896681,0.958280875710614,0.992663986896681,0.992663986896681,0.99934315465515
106,112,0.921533619550632,0.0204482535765025,0.88188725036058,0.888159158377298,0.955423975613826,0.921382379319748,0.955423975613826,0.955423975613826,0.962039469166835
107,113,0.956651343103656,0.02101135374356,0.91590866777461,0.922355082534341,0.991472307924795,0.956497520303973,0.991472307924795,0.991472307924795,0.998268175403547
108,114,1.0206621709622,0.0218601819246029,0.978262162272149,0.984973507216882,1.05688317125212,1.0205061106531,1.05688317125212,1.05688317125212,1.06394905239281
109,115,1.08143149312876,0.0226232977098709,1.03754059573492,1.04449047932031,1.11891062065048,1.08127373916191,1.11891062065048,1.11891062065048,1.12621888836379
110,116,1.12687008550228,0.0231034389241486,1.08203847516023,1.08913949998629,1.1651392396632,1.12671219815303,1.1651392396632,1.1651392396632,1.17259895187872
111,117,1.14406930791689,0.0231420450192909,1.09915672330954,1.10627201252281,1.18239885010412,1.14391327387928,1.18239885010412,1.18239885010412,1.18986861652247
112,118,1.07911304242099,0.0222273224741818,1.03598353732855,1.04281447963481,1.11593216296652,1.07896043516496,1.11593216296652,1.11593216296652,1.12310979732929
113,119,1.07082973163043,0.0218491184622758,1.02843004571207,1.03514635699032,1.10701999095581,1.07068113278095,1.10701999095581,1.10701999095581,1.11407388812746
114,120,1.06160592064731,0.0215224782441808,1.01983742437029,1.02645438785375,1.09725356928803,1.06146047879776,1.09725356928803,1.09725356928803,1.10420094668219
115,121,0.999701249948385,0.0207239265064464,0.959491525016809,0.965859405216093,1.03403156174799,0.999558050437195,1.03403156174799,1.03403156174799,1.04072476148721
116,122,1.02023706416832,0.0208124981168088,0.97984892553568,0.986246618199461,1.05471024546446,1.02009554496999,1.05471024546446,1.05471024546446,1.06142944051869
